,company,name,year,kms_driven,Price,fuel_type
0,Yamaha,NMAX,2018,5000,21000000,bensin
1,Honda,Vario,2014,5000,10500000,bensin
2,Kawasaki,Ninja KRR,2012,30000,25000000,bensin
3,Honda,Supra,2002,5000,3200000,bensin
4,Honda,Vario,2022,25000,19950000,bensin
5,Honda,Scoopy,2023,5000,18000000,bensin
6,Honda,Scoopy,2015,20000,12400000,bensin
7,Honda,Vario,2011,5000,7500000,bensin
8,Honda,Beat,2018,45000,15300000,bensin
9,Yamaha,Mio,2022,5000,13300000,bensin
10,Honda,Scoopy,2015,25000,12400000,bensin
11,Honda,Scoopy,2015,25000,12400000,bensin
12,Honda,Beat,2021,25000,15000000,bensin
13,Piaggio,GTS,2021,5000,195000000,bensin
14,Piaggio,Sprint,2022,10000,49900000,bensin
15,Harley Davidson,Touring,2021,5000,635000000,bensin
16,Honda,Vario,2020,50000,18500000,bensin
17,Honda,Beat,2021,20000,15500000,bensin
18,Honda,Beat,2021,25000,16700000,bensin
19,Honda,CBR,2022,5000,32900000,bensin
20,Yamaha,NMAX,2022,10000,29800000,bensin
21,Honda,CBR,2015,40000,14500000,bensin
22,Kawasaki,Ninja 250,2015,15000,21500000,bensin
23,Honda,Beat,2021,5000,16800000,bensin
24,Yamaha,Lexi,2018,15000,15000000,bensin
25,Yamaha,Lexi,2019,10000,15500000,bensin
26,Yamaha,Lexi,2018,10000,14700000,bensin
27,Yamaha,Lexi,2020,10000,17000000,bensin
28,Yamaha,Lexi,2020,15000,16700000,bensin
29,Honda,Scoopy,2022,5000,15000000,bensin
30,Yamaha,Vixion,2016,7000,8950000,bensin
31,Viar,Karya,2022,25000,20750000,bensin
32,BMW,R NineT,2015,15000,520000000,bensin
33,Honda,Vario,2010,6000,4200000,bensin
34,Honda,Vario,2010,5000,4200000,bensin
35,Honda,Vario,2021,20000,19250000,bensin
36,Yamaha,Vega R,2005,30000,3500000,bensin
37,Yamaha,Vega R,2011,10000,5500000,bensin
38,Yamaha,Vega R,2010,10000,4800000,bensin
39,Yamaha,Vega R,2007,10000,4200000,bensin
40,Honda,CBR,2017,5000,21000000,bensin
41,Honda,CBR,2017,5000,21000000,bensin
42,Honda,PCX,2020,30000,29800000,bensin
43,Honda,Scoopy,2022,15000,20800000,bensin
44,Honda,Beat,2021,5000,16700000,bensin
45,Yamaha,Fino,2021,25000,13500000,bensin
46,Honda,Scoopy,2019,5000,14900000,bensin
47,Honda,Scoopy,2020,5000,16400000,bensin
48,Honda,Vario,2022,10000,25500000,bensin
49,Viar,150,2021,5000,24500000,bensin
50,Honda,Supra,2007,15000,5750000,bensin
51,Honda,Supra,2007,30000,5750000,bensin
52,Viar,Karya,2017,65000,17500000,bensin
53,Honda,Scoopy,2022,5000,19500000,bensin
54,Yamaha,Xeon,2011,45000,5850000,bensin
55,Honda,Beat,2011,5000,7800000,bensin
56,Honda,Beat,2020,5000,14500000,bensin
57,Honda,Beat,2018,5000,12500000,bensin
58,Yamaha,Vixion,2014,5000,11000000,bensin
59,Honda,Vario,2021,5000,18500000,bensin
60,Honda,Vario,2016,40000,13250000,bensin
61,Honda,Vario,2016,40000,10350000,bensin
62,Honda,Vario,2020,15000,18600000,bensin
63,Honda,Beat,2022,15000,16250000,bensin
64,Honda,Beat,2016,35000,11500000,bensin
65,Honda,Vario,2015,40000,12900000,bensin
66,Yamaha,Mio,2015,35000,8500000,bensin
67,Honda,Vario,2021,15000,18500000,bensin
68,Yamaha,Mio,2023,10000,18600000,bensin
69,Honda,CBR,2017,25000,39500000,bensin
70,Kawasaki,ZX,2021,20000,99500000,bensin
71,Piaggio,Primavera,2023,5000,53000000,bensin
72,Harley Davidson,Softail,2021,5000,365000000,bensin
73,Piaggio,Primavera,2023,5000,53000000,bensin
74,Yamaha,Xmax,2018,30000,45000000,bensin
75,Honda,Supra,2017,30000,12000000,bensin
76,Honda,Scoopy,2012,5000,8550000,bensin
77,Yamaha,Jupiter,2007,55000,6500000,bensin
78,Yamaha,Jupiter,2012,70000,7000000,bensin
79,Honda,Beat,2020,15000,13900000,bensin
80,Honda,Mega pro,2010,30000,10500000,bensin
81,Honda,Scoopy,2019,5000,15200000,bensin
82,Honda,Vario,2022,25000,22700000,bensin
83,Yamaha,Mio,2021,5000,16900000,bensin
84,Honda,PCX,2020,25000,29700000,bensin
85,Honda,Scoopy,2020,30000,18500000,bensin
86,Honda,PCX,2022,5000,30800000,bensin
87,Yamaha,NMAX,2019,20000,22300000,bensin
88,Honda,CB 150R,2021,10000,23500000,bensin
89,Honda,PCX,2019,20000,28500000,bensin
90,Honda,PCX,2019,20000,28500000,bensin
91,Honda,Vario,2013,25000,10200000,bensin
92,Yamaha,Aerox,2019,5000,28500000,bensin
93,Honda,Vario,2021,15000,18350000,bensin
94,Yamaha,Aerox,2019,5000,28500000,bensin
95,Honda,PCX,2019,25000,21900000,bensin
96,Kawasaki,Ninja 250,2022,10000,59000000,bensin
97,Harley Davidson,Softail,2021,5000,365000000,bensin
98,Yamaha,Mio,2009,5000,5800000,bensin
99,Honda,Supra,2016,20000,10400000,bensin
100,Honda,Supra,2016,20000,10400000,bensin
101,Yamaha,Mio,2022,5000,15900000,bensin
102,Yamaha,Mio,2022,5000,15900000,bensin
103,Yamaha,Fino,2022,5000,18500000,bensin
104,Yamaha,Freego,2021,5000,14500000,bensin
105,Honda,Vario,2020,20000,17950000,bensin
106,Honda,Beat,2023,5000,17299000,bensin
107,Kawasaki,Ninja 250,2020,30000,52000000,bensin
108,Kawasaki,Ninja 250,2020,25000,52000000,bensin
109,Kawasaki,Ninja 250,2020,30000,52000000,bensin
110,Honda,Supra,2006,45000,5200000,bensin
111,Honda,PCX,2021,30000,26300000,bensin
112,Yamaha,Aerox,2019,5000,28500000,bensin
113,Yamaha,Aerox,2018,45000,18500000,bensin
114,Yamaha,NMAX,2018,60000,20500000,bensin
115,Honda,Beat,2017,35000,12500000,bensin
116,Honda,Supra,2012,5000,11800000,bensin
117,Honda,Beat,2015,35000,9900000,bensin
118,Honda,Vario,2019,20000,17000000,bensin
119,Honda,Vario,2019,20000,17000000,bensin
120,Honda,PCX,2014,35000,18750000,bensin
121,Honda,Vario,2019,20000,17000000,bensin
122,Honda,CB 150R,2016,10000,16500000,bensin
123,Honda,Vario,2014,50000,9900000,bensin
124,Honda,Scoopy,2023,5000,19900000,bensin
125,Yamaha,Soul GT,2016,25000,10500000,bensin
126,Honda,PCX,2020,5000,26500000,bensin
127,Yamaha,Soul GT,2016,20000,10500000,bensin
128,Honda,Supra,2019,20000,12500000,bensin
129,Honda,Forza,2019,10000,74000000,bensin
130,Honda,CB,2015,20000,14500000,bensin
131,Yamaha,Soul GT,2016,20000,10500000,bensin
132,Yamaha,NMAX,2021,10000,29000000,bensin
133,Honda,Beat,2021,20000,14800000,bensin
134,Yamaha,Fino,2017,25000,12300000,bensin
135,Honda,Vario,2014,30000,11000000,bensin
136,Yamaha,Aerox,2022,5000,27500000,bensin
137,Honda,Scoopy,2022,10000,18500000,bensin
138,Honda,Scoopy,2021,20000,17250000,bensin
139,Yamaha,Mio,2017,25000,10000000,bensin
140,Honda,PCX,2021,20000,28000000,bensin
141,Honda,Beat,2012,5000,7500000,bensin
142,Honda,Scoopy,2022,15000,18600000,bensin
143,Honda,Scoopy,2022,10000,18750000,bensin
144,Yamaha,Freego,2021,20000,15200000,bensin
145,Honda,Scoopy,2019,35000,11800000,bensin
146,Yamaha,Mio,2016,25000,9750000,bensin
147,Honda,Vario,2018,20000,17700000,bensin
148,Honda,Vario,2022,10000,25500000,bensin
149,Honda,Vario,2022,10000,22900000,bensin
150,Honda,Beat,2020,15000,15500000,bensin
151,Honda,Vario,2022,10000,21500000,bensin
152,Yamaha,Mio,2018,20000,10600000,bensin
153,Honda,Vario,2010,5000,4200000,bensin
154,Honda,Vario,2010,5000,4200000,bensin
155,Yamaha,Vixion,2016,5000,8950000,bensin
156,Honda,Vario,2018,20000,17750000,bensin
157,Yamaha,NMAX,2022,15000,26000000,bensin
158,Yamaha,YZF R15,2022,5000,36000000,bensin
159,Yamaha,YZF R15,2022,5000,36000000,bensin
160,Harley Davidson,Touring,2020,5000,650000000,bensin
161,Honda,Supra,1991,300000,4800000,bensin
162,Yamaha,Mio,2016,25000,9750000,bensin
163,Yamaha,Mio,2016,20000,9750000,bensin
164,Yamaha,Vixion,2017,5000,12000000,bensin
165,Honda,Beat,2011,5000,7800000,bensin
166,Honda,Beat,2018,5000,12500000,bensin
167,Honda,Beat,2022,5000,16500000,bensin
168,Honda,Beat,2019,20000,13000000,bensin
169,Honda,Beat,2022,5000,16500000,bensin
170,Benelli,BN,2021,5000,200000000,bensin
171,Yamaha,Aerox,2021,45000,25000000,bensin
172,Kawasaki,Ninja KRR,2013,75000,17500000,bensin
173,Honda,Sonic,2020,25000,13000000,bensin
174,Yamaha,Vega R,2004,5000,4000000,bensin
175,Kawasaki,Ninja 250,2023,40000,29000000,bensin
176,Yamaha,Mio,2008,15000,4200000,bensin
177,Honda,CBR,2014,45000,15800000,bensin
178,Honda,Scoopy,2022,15000,19800000,bensin
179,Honda,Vario,2016,15000,19000000,bensin
180,Kawasaki,ZX,2021,20000,99500000,bensin
181,Honda,Vario,2021,45000,18500000,bensin
182,Honda,PCX,2018,30000,21850000,bensin
183,Yamaha,Freego,2023,10000,26000000,bensin
184,Yamaha,Vega R,2008,90000,4600000,bensin
185,Yamaha,MT 25,2019,5000,45500000,bensin
186,Yamaha,MT 25,2019,5000,45500000,bensin
187,Yamaha,Vixion,2016,5000,8950000,bensin
188,Honda,PCX,2022,10000,28800000,bensin
189,Yamaha,Jupiter,2023,5000,25500000,bensin
190,Honda,CBR,2019,5000,25500000,bensin
191,Kawasaki,Ninja 250,2015,5000,37500000,bensin
192,Honda,CBR,2022,5000,61000000,bensin
193,Kawasaki,W800,2020,10000,26000000,bensin
194,Kawasaki,W800,2020,5000,26000000,bensin
195,Yamaha,Freego,2021,20000,15200000,bensin
196,Suzuki,Satria,2016,15000,15000000,bensin
197,Yamaha,Soul GT,2016,20000,10500000,bensin
198,Honda,CBR,2017,5000,21500000,bensin
199,Suzuki,GSX,2018,5000,19800000,bensin
200,Honda,Vario,2014,95000,9100000,bensin
201,Kawasaki,Ninja 250,2015,5000,21500000,bensin
202,Kawasaki,Ninja 250,2019,15000,48000000,bensin
203,Honda,Beat,2020,5000,14600000,bensin
204,Kawasaki,Ninja 250,2019,20000,48000000,bensin
205,Honda,Sonic,2018,5000,16500000,bensin
206,Honda,Vario,2015,20000,15500000,bensin
207,Piaggio,Sprint,2022,5000,52900000,bensin
208,Yamaha,YZF R15,2022,5000,36000000,bensin
209,Kawasaki,Ninja 250,2020,5000,28500000,bensin
210,Kawasaki,Ninja 250,2018,10000,43000000,bensin
211,Honda,Vario,2023,5000,21300000,bensin
