company,name,year,kms_driven,price,fuel_type,unnamed: 6
1,2,2011,5000,7500000,1,
1,3,2018,45000,15300000,1,
2,9,2022,5000,13300000,1,
1,4,2015,25000,12400000,1,
1,4,2015,25000,12400000,1,
1,3,2021,25000,15000000,1,
1,2,2020,50000,18500000,1,
1,3,2021,20000,15500000,1,
1,3,2021,25000,16700000,1,
1,5,2022,5000,32900000,1,
2,7,2022,10000,29800000,1,
1,5,2015,40000,14500000,1,
3,6,2015,15000,21500000,1,
1,3,2021,5000,16800000,1,
2,22,2018,15000,15000000,1,
2,22,2019,10000,15500000,1,
2,22,2018,10000,14700000,1,
2,22,2020,10000,17000000,1,
2,22,2020,15000,16700000,1,
1,4,2022,5000,15000000,1,
2,14,2016,7000,8950000,1,
14,42,2022,25000,20750000,1,
1,2,2010,6000,4200000,1,
1,2,2010,5000,4200000,1,
1,2,2021,20000,19250000,1,
2,24,2005,30000,3500000,1,
2,24,2011,10000,5500000,1,
2,24,2010,10000,4800000,1,
2,24,2007,10000,4200000,1,
1,5,2017,5000,21000000,1,
1,5,2017,5000,21000000,1,
1,8,2020,30000,29800000,1,
1,4,2022,15000,20800000,1,
1,3,2021,5000,16700000,1,
2,16,2021,25000,13500000,1,
1,4,2019,5000,14900000,1,
1,4,2020,5000,16400000,1,
1,2,2022,10000,25500000,1,
14,55,2021,5000,24500000,1,
1,10,2007,15000,5750000,1,
1,10,2007,30000,5750000,1,
14,42,2017,65000,17500000,1,
1,4,2022,5000,19500000,1,
2,18,2011,45000,5850000,1,
1,3,2011,5000,7800000,1,
1,3,2020,5000,14500000,1,
1,3,2018,5000,12500000,1,
2,14,2014,5000,11000000,1,
1,2,2021,5000,18500000,1,
1,2,2016,40000,13250000,1,
1,2,2016,40000,10350000,1,
1,2,2020,15000,18600000,1,
1,3,2022,15000,16250000,1,
1,3,2016,35000,11500000,1,
1,2,2015,40000,12900000,1,
2,9,2015,35000,8500000,1,
1,2,2021,15000,18500000,1,
2,9,2023,10000,18600000,1,
1,5,2017,25000,39500000,1,
3,21,2021,20000,99500000,1,
2,29,2018,30000,45000000,1,
1,10,2017,30000,12000000,1,
1,4,2012,5000,8550000,1,
2,26,2007,55000,6500000,1,
2,26,2012,70000,7000000,1,
1,3,2020,15000,13900000,1,
1,58,2010,30000,10500000,1,
1,4,2019,5000,15200000,1,
1,2,2022,25000,22700000,1,
2,9,2021,5000,16900000,1,
1,8,2020,25000,29700000,1,
1,4,2020,30000,18500000,1,
1,8,2022,5000,30800000,1,
2,7,2019,20000,22300000,1,
1,12,2021,10000,23500000,1,
1,8,2019,20000,28500000,1,
1,8,2019,20000,28500000,1,
1,2,2013,25000,10200000,1,
2,13,2019,5000,28500000,1,
1,2,2021,15000,18350000,1,
2,13,2019,5000,28500000,1,
1,8,2019,25000,21900000,1,
3,6,2022,10000,59000000,1,
2,9,2009,5000,5800000,1,
1,10,2016,20000,10400000,1,
1,10,2016,20000,10400000,1,
2,9,2022,5000,15900000,1,
2,9,2022,5000,15900000,1,
2,16,2022,5000,18500000,1,
2,15,2021,5000,14500000,1,
1,2,2020,20000,17950000,1,
1,3,2023,5000,17299000,1,
3,6,2020,30000,52000000,1,
3,6,2020,25000,52000000,1,
3,6,2020,30000,52000000,1,
1,10,2006,45000,5200000,1,
1,8,2021,30000,26300000,1,
2,13,2019,5000,28500000,1,
2,13,2018,45000,18500000,1,
2,7,2018,60000,20500000,1,
1,3,2017,35000,12500000,1,
1,10,2012,5000,11800000,1,
1,3,2015,35000,9900000,1,
1,2,2019,20000,17000000,1,
1,2,2019,20000,17000000,1,
1,8,2014,35000,18750000,1,
1,2,2019,20000,17000000,1,
1,12,2016,10000,16500000,1,
1,2,2014,50000,9900000,1,
1,4,2023,5000,19900000,1,
2,17,2016,25000,10500000,1,
1,8,2020,5000,26500000,1,
2,17,2016,20000,10500000,1,
1,10,2019,20000,12500000,1,
1,25,2019,10000,74000000,1,
1,36,2015,20000,14500000,1,
2,17,2016,20000,10500000,1,
2,7,2021,10000,29000000,1,
1,3,2021,20000,14800000,1,
2,16,2017,25000,12300000,1,
1,2,2014,30000,11000000,1,
2,13,2022,5000,27500000,1,
1,4,2022,10000,18500000,1,
1,4,2021,20000,17250000,1,
2,9,2017,25000,10000000,1,
1,8,2021,20000,28000000,1,
1,3,2012,5000,7500000,1,
1,4,2022,15000,18600000,1,
1,4,2022,10000,18750000,1,
2,15,2021,20000,15200000,1,
