company,name,year,kms_driven,price,fuel_type,unnamed: 6
Honda,Vario,2011,5000,7500000,bensin,
Honda,Beat,2018,45000,15300000,bensin,
Yamaha,Mio,2022,5000,13300000,bensin,
Honda,Scoopy,2015,25000,12400000,bensin,
Honda,Scoopy,2015,25000,12400000,bensin,
Honda,Beat,2021,25000,15000000,bensin,
Honda,Vario,2020,50000,18500000,bensin,
Honda,Beat,2021,20000,15500000,bensin,
Honda,Beat,2021,25000,16700000,bensin,
Honda,CBR,2022,5000,32900000,bensin,
Yamaha,NMAX,2022,10000,29800000,bensin,
Honda,CBR,2015,40000,14500000,bensin,
Kawasaki,Ninja 250,2015,15000,21500000,bensin,
Honda,Beat,2021,5000,16800000,bensin,
Yamaha,Lexi,2018,15000,15000000,bensin,
Yamaha,Lexi,2019,10000,15500000,bensin,
Yamaha,Lexi,2018,10000,14700000,bensin,
Yamaha,Lexi,2020,10000,17000000,bensin,
Yamaha,Lexi,2020,15000,16700000,bensin,
Honda,Scoopy,2022,5000,15000000,bensin,
Yamaha,Vixion,2016,7000,8950000,bensin,
Viar,Karya,2022,25000,20750000,bensin,
Honda,Vario,2010,6000,4200000,bensin,
Honda,Vario,2010,5000,4200000,bensin,
Honda,Vario,2021,20000,19250000,bensin,
Yamaha,Vega R,2005,30000,3500000,bensin,
Yamaha,Vega R,2011,10000,5500000,bensin,
Yamaha,Vega R,2010,10000,4800000,bensin,
Yamaha,Vega R,2007,10000,4200000,bensin,
Honda,CBR,2017,5000,21000000,bensin,
Honda,CBR,2017,5000,21000000,bensin,
Honda,PCX,2020,30000,29800000,bensin,
Honda,Scoopy,2022,15000,20800000,bensin,
Honda,Beat,2021,5000,16700000,bensin,
Yamaha,Fino,2021,25000,13500000,bensin,
Honda,Scoopy,2019,5000,14900000,bensin,
Honda,Scoopy,2020,5000,16400000,bensin,
Honda,Vario,2022,10000,25500000,bensin,
Viar,150,2021,5000,24500000,bensin,
Honda,Supra,2007,15000,5750000,bensin,
Honda,Supra,2007,30000,5750000,bensin,
Viar,Karya,2017,65000,17500000,bensin,
Honda,Scoopy,2022,5000,19500000,bensin,
Yamaha,Xeon,2011,45000,5850000,bensin,
Honda,Beat,2011,5000,7800000,bensin,
Honda,Beat,2020,5000,14500000,bensin,
Honda,Beat,2018,5000,12500000,bensin,
Yamaha,Vixion,2014,5000,11000000,bensin,
Honda,Vario,2021,5000,18500000,bensin,
Honda,Vario,2016,40000,13250000,bensin,
Honda,Vario,2016,40000,10350000,bensin,
Honda,Vario,2020,15000,18600000,bensin,
Honda,Beat,2022,15000,16250000,bensin,
Honda,Beat,2016,35000,11500000,bensin,
Honda,Vario,2015,40000,12900000,bensin,
Yamaha,Mio,2015,35000,8500000,bensin,
Honda,Vario,2021,15000,18500000,bensin,
Yamaha,Mio,2023,10000,18600000,bensin,
Honda,CBR,2017,25000,39500000,bensin,
Kawasaki,ZX,2021,20000,99500000,bensin,
Yamaha,Xmax,2018,30000,45000000,bensin,
Honda,Supra,2017,30000,12000000,bensin,
Honda,Scoopy,2012,5000,8550000,bensin,
Yamaha,Jupiter,2007,55000,6500000,bensin,
Yamaha,Jupiter,2012,70000,7000000,bensin,
Honda,Beat,2020,15000,13900000,bensin,
Honda,Mega pro,2010,30000,10500000,bensin,
Honda,Scoopy,2019,5000,15200000,bensin,
Honda,Vario,2022,25000,22700000,bensin,
Yamaha,Mio,2021,5000,16900000,bensin,
Honda,PCX,2020,25000,29700000,bensin,
Honda,Scoopy,2020,30000,18500000,bensin,
Honda,PCX,2022,5000,30800000,bensin,
Yamaha,NMAX,2019,20000,22300000,bensin,
Honda,CB 150R,2021,10000,23500000,bensin,
Honda,PCX,2019,20000,28500000,bensin,
Honda,PCX,2019,20000,28500000,bensin,
Honda,Vario,2013,25000,10200000,bensin,
Yamaha,Aerox,2019,5000,28500000,bensin,
Honda,Vario,2021,15000,18350000,bensin,
